row_index,actual_fail,mean_repeated_oof_score,missing_fraction,month,alert,outcome
0,0,0.1225238545137623,0.07457627118644068,2008-07,True,false_positive
2,1,0.14061777229108488,0.03389830508474576,2008-07,True,true_positive
3,0,0.13865680102750483,0.03389830508474576,2008-07,True,false_positive
4,0,0.11323424002898376,0.06779661016949153,2008-07,True,false_positive
6,0,0.10440693052525113,0.06779661016949153,2008-07,True,false_positive
7,0,0.14583245205189158,0.04067796610169491,2008-07,True,false_positive
8,0,0.19277928603596658,0.04067796610169491,2008-07,True,false_positive
10,1,0.15316146593753444,0.03389830508474576,2008-07,True,true_positive
12,0,0.11804755692525654,0.04745762711864407,2008-07,True,false_positive
13,0,0.07134711919229526,0.05423728813559322,2008-07,False,true_negative
14,1,0.10793278691148367,0.04745762711864407,2008-07,True,true_positive
15,0,0.2123936826252686,0.04745762711864407,2008-07,True,false_positive
16,0,0.09019979999729093,0.04067796610169491,2008-07,False,true_negative
19,0,0.15005659458210083,0.04745762711864407,2008-07,True,false_positive
22,0,0.12281095819939321,0.04067796610169491,2008-07,True,false_positive
27,0,0.18181399244150417,0.03389830508474576,2008-07,True,false_positive
28,0,0.12102082720530982,0.03389830508474576,2008-07,True,false_positive
29,0,0.11842561653942026,0.03389830508474576,2008-07,True,false_positive
30,0,0.08808803258395691,0.04745762711864407,2008-07,False,true_negative
32,0,0.11521253916558444,0.04745762711864407,2008-07,True,false_positive
33,0,0.14486763482899348,0.059322033898305086,2008-07,True,false_positive
34,0,0.13258834748637194,0.03389830508474576,2008-07,True,false_positive
35,0,0.1213182101730894,0.04745762711864407,2008-07,True,false_positive
36,0,0.12619362692255268,0.04745762711864407,2008-07,True,false_positive
37,0,0.08646207356912376,0.03389830508474576,2008-07,False,true_negative
38,1,0.14378958322145793,0.04745762711864407,2008-07,True,true_positive
39,0,0.05503645107579547,0.05423728813559322,2008-07,False,true_negative
40,1,0.1363148232687247,0.03389830508474576,2008-07,True,true_positive
43,0,0.11809603276631446,0.04745762711864407,2008-07,True,false_positive
45,1,0.1219492407947486,0.03389830508474576,2008-07,True,true_positive
46,0,0.1785610536488618,0.04745762711864407,2008-07,True,false_positive
47,0,0.16967687105077256,0.04745762711864407,2008-07,True,false_positive
49,1,0.11610550330267684,0.04745762711864407,2008-07,True,true_positive
52,0,0.16325365957987756,0.04745762711864407,2008-07,True,false_positive
53,0,0.08215589608598733,0.07966101694915254,2008-07,False,true_negative
54,0,0.1366540620893989,0.03389830508474576,2008-07,True,false_positive
55,0,0.1502245034996109,0.04745762711864407,2008-07,True,false_positive
56,0,0.07960556148006946,0.03389830508474576,2008-07,False,true_negative
57,1,0.13865911516797272,0.03389830508474576,2008-07,True,true_positive
59,0,0.12570925232313948,0.061016949152542375,2008-07,True,false_positive
60,0,0.19438031950134074,0.03389830508474576,2008-07,True,false_positive
61,0,0.11105458200609875,0.03389830508474576,2008-07,True,false_positive
63,0,0.09889202249105393,0.03389830508474576,2008-08,True,false_positive
64,1,0.0768497373689413,0.04067796610169491,2008-08,False,false_negative
66,0,0.08204879538132727,0.03389830508474576,2008-08,False,true_negative
67,0,0.11878951018585415,0.04067796610169491,2008-08,True,false_positive
69,0,0.1026147588568488,0.03389830508474576,2008-08,True,false_positive
70,0,0.08323116035615406,0.03389830508474576,2008-08,False,true_negative
